species,localities
diploderma micangshanensis,N/A
diploderma polygonatum,N/A
diploderma slowinskii,N/A
diploderma splendidum,N/A
diploderma swinhonis,N/A
diploderma varcoae,N/A
diploderma vela,N/A
diploderma yulongense,N/A
diploderma yunnanense,N/A
diploderma zhaoermii,N/A
dopasia gracilis,N/A
dopasia hainanensis,N/A
dopasia harti,N/A
dopasia ludovici,N/A
draco blanfordii,N/A
draco maculatus,N/A
echis carinatus,N/A
elaphe anomala,N/A
elaphe bimaculata,N/A
elaphe cantoris,N/A
elaphe carinata,N/A
elaphe davidi,N/A
elaphe dione,N/A
elaphe hodgsonii,N/A
elaphe moellendorffi,N/A
elaphe schrenckii,N/A
elaphe taeniura,N/A
elaphe xiphodonta,N/A
elaphe zoigeensis,N/A
emoia atrocostata,N/A
emydocephalus ijimae,N/A
eremias argus,N/A
eremias arguta,N/A
eremias brenchleyi,N/A
eremias buechneri,N/A
eremias grammica,N/A
eremias kokshaaliensis,N/A
eremias multiocellata,N/A
eremias przewalskii,N/A
eremias quadrifrons,N/A
eremias scripta,N/A
eremias stummeri,N/A
eremias velox,N/A
eremias vermiculata,N/A
eremias yarkandensis,N/A
eretmochelys imbricata,N/A
eryx tataricus,N/A
euprepiophis mandarinus,N/A
euprepiophis perlacea,N/A
eutropis dissimilis,N/A
eutropis longicaudata,N/A
eutropis macularia,N/A
eutropis multifasciata,N/A
fowlea flavipunctatus,N/A
fowlea piscator,N/A
fowlea sanctijohannis,N/A
fowlea yunnanensis,N/A
gehyra mutilata,N/A
gekko adleri,N/A
gekko auriverrucosus,N/A
gekko bannaense,N/A
gekko chinensis,N/A
gekko gecko,N/A
gekko hokouensis,N/A
gekko japonicus,N/A
gekko kwangsiensis,N/A
gekko liboensis,N/A
gekko melli,N/A
gekko palmatus,N/A
gekko reevesii,N/A
gekko scabridus,N/A
gekko similignum,N/A
gekko subpalmatus,N/A
gekko swinhonis,N/A
gekko taibaiensis,N/A
gekko wenxianensis,N/A
geoemyda spengleri,N/A
gloydius brevicauda,N/A
gloydius halys,N/A
gloydius himalayanus,N/A
gloydius intermedius,N/A
gloydius monticola,N/A
gloydius strauchi,N/A
gloydius ussuriensis,N/A
goniurosaurus araneus,N/A
goniurosaurus bawanglingensis,N/A
goniurosaurus hainanensis,N/A
goniurosaurus liboensis,N/A
goniurosaurus luii,N/A
goniurosaurus zhelongi,N/A
goniurosaurus zhoui,N/A
gonyosoma boulengeri,N/A
gonyosoma frenatum,N/A
gonyosoma hainanense,N/A
gonyosoma prasinum,N/A
hebius atemporalis,N/A
hebius bitaeniatus,N/A
hebius boulengeri,N/A
hebius clerki,N/A
hebius craspedogaster,N/A
hebius johannis,N/A
hebius khasiensis,N/A
hebius metusia,N/A
hebius miyajimae,N/A
hebius modestus,N/A
hebius octolineatus,N/A
hebius optatus,N/A
hebius parallelus,N/A
hebius popei,N/A
hebius sangzhiensis,N/A
hebius sauteri,N/A
hebius septemlineatus,N/A
hebius venningi,N/A
hebius vibakari,N/A
hebius weixiensis,N/A
hebius yanbianensis,N/A
hemidactylus aquilonius,N/A
hemidactylus bowringii,N/A
hemidactylus brookii,N/A
hemidactylus frenatus,N/A
hemidactylus garnotii,N/A
hemidactylus platyurus,N/A
hemidactylus stejnegeri,N/A
hemidactylus vietnamensis,N/A
hemiphyllodactylus changningensis,N/A
hemiphyllodactylus hongkongensis,N/A
hemiphyllodactylus huishuiensis,N/A
hemiphyllodactylus typus,N/A
hemiphyllodactylus yunnanensis,N/A
hemorrhois ravergieri,N/A
herpetoreas burbrinki,N/A
herpetoreas platyceps,N/A
herpetoreas sieboldii,N/A
herpetoreas xenura,N/A
hydrophis caerulescens,N/A
hydrophis curtus,N/A
hydrophis cyanocinctus,N/A
hydrophis lamberti,N/A
hydrophis melanocephalus,N/A
hydrophis ornatus,N/A
hydrophis peronii,N/A
hydrophis platurus,N/A
hydrophis schistosus,N/A
hydrophis stokesii,N/A
hydrophis torquatus,N/A
hydrophis viperinus,N/A
hypsiscopus plumbea,N/A
indotestudo elongata,N/A
indotyphlops braminus,N/A
indotyphlops jerdoni,N/A
indotyphlops lazelli,N/A
indotyphlops porrectus,N/A
japalura andersoniana,N/A
japalura austeniana,N/A
japalura tricarinata,N/A
japalura variegata,N/A
kerilia jerdoni,N/A
lacerta agilis,N/A
lamprolepis smaragdina,N/A
laticauda colubrina,N/A
laticauda laticaudata,N/A
laticauda semifasciata,N/A
laudakia papenfussi,N/A
laudakia sacra,N/A
laudakia tuberculata,N/A
laudakia wui,N/A
leiolepis reevesii,N/A
lepidochelys olivacea,N/A
lepidodactylus lugubris,N/A
liopeltis frenata,N/A
liopeltis stoliczkae,N/A
lycodon aulicus,N/A
lycodon capucinus,N/A
lycodon cathaya,N/A
lycodon davisonii,N/A
lycodon fasciatus,N/A
lycodon flavozonatus,N/A
lycodon futsingensis,N/A
lycodon gammiei,N/A
lycodon gongshan,N/A
lycodon laoensis,N/A
lycodon liuchengchaoi,N/A
lycodon meridionale,N/A
lycodon multizonatus,N/A
lycodon pictus,N/A
lycodon rosozonatus,N/A
lycodon rufozonatus,N/A
lycodon ruhstrati,N/A
lycodon septentrionalis,N/A
lycodon serratus,N/A
lycodon subcinctus,N/A
lycodon synaptor,N/A
lygosoma albopunctata,N/A
lygosoma punctata,N/A
lygosoma siamensis,N/A
manouria impressa,N/A
mauremys mutica,N/A
mauremys sinensis,N/A
mediodactylus russowii,N/A
microcephalophis gracilis,N/A
morenia ocellata,N/A
myrrophis bennettii,N/A
myrrophis chinensis,N/A
naja atra,N/A
naja kaouthia,N/A
naja naja,N/A
natrix natrix,N/A
natrix tessellata,N/A
oligodon albocinctus,N/A
oligodon bivirgatus,N/A
oligodon catenatus,N/A
oligodon chinensis,N/A
oligodon cinereus,N/A
oligodon cyclurus,N/A
oligodon dorsalis,N/A
oligodon eberhardti,N/A
oligodon formosanus,N/A
oligodon juglandifer,N/A
oligodon lacroixi,N/A
oligodon lipipengi,N/A
oligodon lungshenensis,N/A
oligodon ornatus,N/A
oligodon taeniolatus,N/A
oocatochus rufodorsatus,N/A
ophiophagus hannah,N/A
opisthotropis andersonii,N/A
opisthotropis cheni,N/A
opisthotropis guangxiensis,N/A
opisthotropis hungtai,N/A
opisthotropis jacobi,N/A
opisthotropis kuatunensis,N/A
opisthotropis lateralis,N/A
opisthotropis latouchii,N/A
opisthotropis maculosa,N/A
opisthotropis maxwelli,N/A
opisthotropis shenzhenensis,N/A
opisthotropis zhaoermii,N/A
oreocryptophis porphyraceus,N/A
orientocoluber spinalis,N/A
ovophis makazayazaya,N/A
ovophis monticola,N/A
ovophis tonkinensis,N/A
ovophis zayuensis,N/A
palea steindachneri,N/A
paralaudakia himalayana,N/A
paralaudakia stoliczkana,N/A
paratapinophis praemaxillaris,N/A
pareas boulengeri,N/A
pareas carinatus,N/A
pareas chinensis,N/A
pareas formosensis,N/A
pareas hamptoni,N/A
pareas margaritophorus,N/A
pareas monticola,N/A
pareas niger,N/A
pareas nigriceps,N/A
pareas stanleyi,N/A
pareas xuelinensis,N/A
pelochelys cantorii,N/A
phrynocephalus alpherakii,N/A
phrynocephalus axillaris,N/A
phrynocephalus erythrurus,N/A
phrynocephalus forsythii,N/A
phrynocephalus frontalis,N/A
phrynocephalus guttatus,N/A
phrynocephalus helioscopus,N/A
phrynocephalus kuschakewitschi,N/A
phrynocephalus melanurus,N/A
phrynocephalus mystaceus,N/A
phrynocephalus przewalskii,N/A
phrynocephalus putjatai,N/A
phrynocephalus theobaldi,N/A
phrynocephalus versicolor,N/A
phrynocephalus vlangalii,N/A
physignathus cocincinus,N/A
plagiopholis blakewayi,N/A
plagiopholis nuchalis,N/A
plagiopholis styani,N/A
platysternon megacephalum,N/A
plestiodon capito,N/A
plestiodon chinensis,N/A
plestiodon elegans,N/A
plestiodon leucostictus,N/A
plestiodon liui,N/A
plestiodon popei,N/A
plestiodon quadrilineatus,N/A
plestiodon tamdaoensis,N/A
plestiodon tunganus,N/A
protobothrops cornutus,N/A
protobothrops himalayanus,N/A
protobothrops jerdonii,N/A
protobothrops kaulbacki,N/A
protobothrops mangshanensis,N/A
protobothrops maolanensis,N/A
protobothrops mucrosquamatus,N/A
protobothrops trungkhanhensis,N/A
protobothrops xiangchengensis,N/A
psammodynastes pulverulentus,N/A
psammophis lineolatus,N/A
psammophis turpanensis,N/A
pseudagkistrodon rudis,N/A
pseudocalotes brevipes,N/A
pseudocalotes kakhienensis,N/A
pseudocalotes kingdonwardi,N/A
pseudocalotes microlepis,N/A
pseudoxenodon bambusicola,N/A
pseudoxenodon karlschmidti,N/A
pseudoxenodon macrops,N/A
pseudoxenodon stejnegeri,N/A
ptyas dhumnades,N/A
ptyas doriae,N/A
ptyas korros,N/A
ptyas major,N/A
ptyas mucosa,N/A
ptyas multicinctus,N/A
ptyas nigromarginata,N/A
ptyctolaemus gularis,N/A
python bivittatus,N/A
rafetus swinhoei,N/A
rhabdophis adleri,N/A
rhabdophis callichroma,N/A
rhabdophis chiwen,N/A
rhabdophis chrysargos,N/A
rhabdophis confusus,N/A
rhabdophis guangdongensis,N/A
rhabdophis himalayanus,N/A
rhabdophis leonardi,N/A
rhabdophis nigrocinctus,N/A
rhabdophis nuchalis,N/A
rhabdophis pentasupralabialis,N/A
rhabdophis plumbicolor,N/A
rhabdophis subminiatus,N/A
rhabdophis swinhonis,N/A
rhabdophis tigrinus,N/A
sacalia quadriocellata,N/A
scincella barbouri,N/A
scincella doriae,N/A
scincella formosensis,N/A
scincella huanrenensis,N/A
scincella modesta,N/A
scincella monticola,N/A
scincella potanini,N/A
scincella przewalskii,N/A
scincella reevesii,N/A
scincella schmidti,N/A
scincella tsinlingensis,N/A
shinisaurus crocodilurus,N/A
sibynophis chinensis,N/A
sibynophis collaris,N/A
sinomicrurus kelloggi,N/A
sinomicrurus macclellandi,N/A
sinomicrurus sauteri,N/A
smithophis bicolor,N/A
sphenomorphus courcyanus,N/A
sphenomorphus incognitus,N/A
sphenomorphus indicus,N/A
sphenomorphus maculatus,N/A
sphenomorphus taiwanensis,N/A
sphenomorphus tonkinensis,N/A
stichophanes ningshaanensis,N/A
subdoluseps bowringii,N/A
takydromus albomaculosus,N/A
takydromus amurensis,N/A
takydromus formosanus,N/A
takydromus hsuehshanensis,N/A
takydromus intermedius,N/A
takydromus kuehnei,N/A
takydromus luyeanus,N/A
takydromus sauteri,N/A
takydromus septentrionalis,N/A
takydromus sexlineatus,N/A
takydromus stejnegeri,N/A
takydromus sylvaticus,N/A
takydromus viridipunctatus,N/A
takydromus wolteri,N/A
tenuidactylus dadunensis,N/A
tenuidactylus elongatus,N/A
teratoscincus przewalskii,N/A
teratoscincus roborowskii,N/A
teratoscincus scincus,N/A
thermophis baileyi,N/A
thermophis shangrila,N/A
thermophis zhaoermii,N/A
trachischium fuscum,N/A
trachischium monticola,N/A
trachischium tenuiceps,N/A
trapelus sanguinolentus,N/A
trimeresurus albolabris,N/A
trimeresurus gracilis,N/A
trimeresurus gumprechti,N/A
trimeresurus medoensis,N/A
trimeresurus popeiorum,N/A
trimeresurus sichuanensis,N/A
trimeresurus stejnegeri,N/A
trimeresurus tibetanus,N/A
trimeresurus yunnanensis,N/A
trimerodytes aequifasciatus,N/A
trimerodytes annularis,N/A
trimerodytes balteatus,N/A
trimerodytes percarinatus,N/A
trimerodytes yapingi,N/A
trimerodytes yunnanensis,N/A
tropidophorus berdmorei,N/A
tropidophorus guangxiensis,N/A
tropidophorus hainanus,N/A
tropidophorus sinicus,N/A
varanus bengalensis,N/A
varanus salvator,N/A
vipera berus,N/A
vipera renardi,N/A
xenopeltis hainanensis,N/A
xenopeltis unicolor,N/A
zootoca vivipara,N/A
